Regiao,Genero,Tratamento,Outcome,N,ACME_treated,ACME_treated_ci_lo,ACME_treated_ci_hi,ACME_control,ACME_control_ci_lo,ACME_control_ci_hi,ACME_avg,ACME_avg_ci_lo,ACME_avg_ci_hi,ADE_treated,ADE_treated_ci_lo,ADE_treated_ci_hi,ADE_control,ADE_control_ci_lo,ADE_control_ci_hi,ADE_avg,ADE_avg_ci_lo,ADE_avg_ci_hi,Total_effect,Total_effect_ci_lo,Total_effect_ci_hi,Prop_mediated,Prop_mediated_ci_lo,Prop_mediated_ci_hi
Norte,Filhas,PAI_FUNDAMENTAL,MT,16650,0.32073014483543927,0.21742621128646433,0.4601380865973162,0.3207301448354388,0.21742621128646433,0.4601380865973165,0.32073014483543905,0.21742621128646433,0.4601380865973163,3.3712201641783106,1.9982924095770895,4.708792914068746,3.3712201641783106,1.9982924095770895,4.708792914068746,3.3712201641783106,1.9982924095770895,4.708792914068746,3.6919503090137495,2.306586798256367,5.0630216390934475,0.08687282276047681,0.0542558028234123,0.15775785071116266
Nordeste,Filhos,PAI_FUNDAMENTAL,MT,48738,0.2648163742771824,0.17624922883908903,0.3264026200828652,0.2648163742771823,0.17624922883908917,0.3264026200828653,0.26481637427718235,0.17624922883908908,0.32640262008286525,3.121376598304687,1.64635350988956,4.748919086564643,3.121376598304687,1.64635350988956,4.748919086564643,3.121376598304687,1.64635350988956,4.748919086564643,3.386192972581869,1.8934756027310011,4.999806461410101,0.07820474982418617,0.043604372395038365,0.14082352535438453
Nordeste,Filhas,PAI_FUNDAMENTAL,MT,41979,0.36390514860878725,0.26911737842594463,0.5029228620406357,0.36390514860878725,0.2691173784259446,0.5029228620406357,0.36390514860878725,0.2691173784259446,0.5029228620406357,3.1833698993179977,1.9272390778670234,4.806554581924994,3.1833698993179977,1.9272390778670234,4.806554581924995,3.1833698993179977,1.9272390778670234,4.806554581924995,3.547275047926785,2.429908649484396,5.266331426375502,0.10258723772250833,0.06061986020996078,0.20696068468886192
Sudeste,Filhos,PAI_FUNDAMENTAL,MT,67179,0.19498220730382507,0.07283448545564189,0.3618279482292899,0.19498220730382507,0.07283448545564189,0.3618279482292899,0.19498220730382507,0.07283448545564189,0.3618279482292899,1.1355045065817622,-0.6485347051640835,3.352443742126225,1.1355045065817622,-0.6485347051640834,3.352443742126225,1.1355045065817622,-0.6485347051640834,3.352443742126225,1.3304867138855871,-0.3500034168500519,3.6495057995309104,0.146549533542048,-1.257136295210685,0.4083666132846124
Sudeste,Filhas,PAI_FUNDAMENTAL,MT,60740,0.14114330573326744,0.029120869669938532,0.43929748142198904,0.1411433057332675,0.029120869669938317,0.4392974814219891,0.14114330573326747,0.029120869669938425,0.43929748142198904,4.56512215216292,2.1941930225834425,5.332034800724073,4.56512215216292,2.1941930225834425,5.332034800724073,4.56512215216292,2.1941930225834425,5.332034800724073,4.706265457896188,2.517933665830595,5.400807732885742,0.029990510946733096,0.0059497351484382776,0.1344322483514496
Sul,Filhos,PAI_FUNDAMENTAL,MT,31051,0.29303652258693363,0.0964158579063634,0.4435399415580552,0.2930365225869335,0.09641585790636319,0.44353994155805515,0.2930365225869336,0.09641585790636328,0.4435399415580552,1.8272068684324514,0.6984868532868422,3.8060571746569325,1.8272068684324514,0.6984868532868423,3.8060571746569325,1.8272068684324514,0.6984868532868423,3.8060571746569325,2.120243391019385,0.9273215460226852,4.045325456487946,0.13820890744342584,0.03322990593357103,0.265696030472125
Sul,Filhas,PAI_FUNDAMENTAL,MT,27479,0.2549647796602555,0.07275546641451489,0.37837141959283743,0.2549647796602554,0.07275546641451487,0.3783714195928376,0.25496477966025544,0.07275546641451489,0.37837141959283754,2.3763692489217685,0.13676053204701788,4.889828866823504,2.3763692489217685,0.13676053204701788,4.889828866823504,2.3763692489217685,0.13676053204701788,4.889828866823504,2.6313340285820237,0.3070156289546842,5.1619309639278175,0.09689563426413451,-0.22832038188075277,0.29309922956259243
Centro-Oeste,Filhos,PAI_FUNDAMENTAL,MT,15924,0.6010644220610981,0.31914462552949585,0.856143834735372,0.601064422061098,0.31914462552949596,0.8561438347353721,0.6010644220610981,0.3191446255294959,0.856143834735372,2.6609836466925554,0.45373077010066676,4.186228322534859,2.6609836466925554,0.45373077010066676,4.186228322534859,2.6609836466925554,0.45373077010066676,4.186228322534859,3.2620480687536535,1.0735083533994527,4.627046443968176,0.18425982983468103,0.08579828803965987,0.5752897112702271
Centro-Oeste,Filhas,PAI_FUNDAMENTAL,MT,14006,0.3036183154568346,0.07748506652910665,0.5175651309904493,0.3036183154568346,0.07748506652910653,0.5175651309904491,0.3036183154568346,0.0774850665291066,0.5175651309904492,2.866433142219934,1.794631285438501,5.204890590318954,2.866433142219934,1.7946312854385007,5.204890590318954,2.866433142219934,1.7946312854385007,5.204890590318954,3.1700514576767684,2.1227468756777346,5.591957571125085,0.09577709368773053,0.027965764907184006,0.17868277086725792
Norte,Filhos,PAI_MEDIO,LP,26022,0.4933148781948027,0.37146529943077056,0.6056873413018672,0.4933148781948024,0.37146529943077067,0.6056873413018672,0.4933148781948026,0.3714652994307706,0.6056873413018672,13.495283723940286,12.354685153377268,14.638689783670108,13.495283723940286,12.354685153377268,14.638689783670106,13.495283723940286,12.354685153377268,14.638689783670108,13.988598602135088,12.786613202737547,15.152564636666638,0.03526549672527651,0.026491680822049026,0.042531669069195234
